"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.731892917E-1,-2.433827966E-1,-6.429336071E-1,5.045710597E-3,6.874767400E-1
5.831292917E-1,-2.400826067E-1,-5.279220939E-1,2.900510654E-2,5.806743420E-1
5.930702917E-1,-1.922032982E-1,-4.414060712E-1,9.439444542E-2,4.906034436E-1
6.030112917E-1,-1.153588668E-1,-3.838942945E-1,1.610166132E-1,4.319824617E-1
6.129522917E-1,-4.633078352E-2,-3.449531496E-1,1.900917292E-1,3.965779651E-1
6.228932917E-1,5.523894913E-3,-2.838650346E-1,1.600217074E-1,3.259092176E-1
6.328342917E-1,3.860567883E-2,-2.215782106E-1,9.922173619E-2,2.458297272E-1
6.427752917E-1,4.889347032E-2,-2.073236406E-1,7.576061785E-2,2.260825836E-1
6.527162917E-1,3.380447999E-2,-2.824054360E-1,8.337467164E-2,2.963897924E-1
6.626572917E-1,2.114195004E-2,-3.365821242E-1,9.636317194E-2,3.507425969E-1
6.725982917E-1,-8.157895878E-3,-3.566887081E-1,1.133857593E-1,3.743657518E-1
6.825392917E-1,-3.375114128E-2,-4.519555867E-1,9.925129265E-2,4.639545354E-1
6.924792917E-1,-6.174727529E-2,-4.532123506E-1,9.041604400E-2,4.662501708E-1
7.024202917E-1,-8.226906508E-2,-3.047786653E-1,7.067775726E-2,3.235020545E-1
7.123612917E-1,-9.621758014E-2,-2.116661072E-1,7.694306970E-2,2.449093702E-1
7.223022917E-1,-1.279352903E-1,-1.911275536E-1,7.970689237E-2,2.434139867E-1
7.322432917E-1,-1.385756582E-1,-1.889251471E-1,6.703492999E-2,2.436998278E-1
7.421842917E-1,-1.202821285E-1,-1.949329823E-1,4.105339572E-2,2.327059074E-1
7.521252917E-1,-9.016980976E-2,-2.458254099E-1,5.311310664E-2,2.671735931E-1
7.620662917E-1,-8.059654385E-2,-2.994883657E-1,4.418832064E-2,3.132757439E-1
7.720072917E-1,-5.442846939E-2,-4.417502284E-1,-1.343545765E-1,4.649267413E-1
7.819482917E-1,1.870379969E-2,-4.773282111E-1,-2.257356346E-1,5.283451807E-1
7.918892917E-1,1.062747240E-1,-5.455923676E-1,-2.284262180E-1,6.009524821E-1
8.018302917E-1,1.647084802E-1,-6.045281291E-1,-2.285836190E-1,6.669584794E-1
8.117702917E-1,1.970816553E-1,-6.315410137E-1,-2.337078005E-1,7.016441882E-1
8.217111667E-1,2.090810686E-1,-6.571071148E-1,-2.420035452E-1,7.308011833E-1
8.316521667E-1,2.013361454E-1,-6.670266986E-1,-2.379168868E-1,7.362508439E-1
8.415931667E-1,1.879633516E-1,-6.238432527E-1,-2.359341681E-1,6.929470089E-1
8.515341667E-1,1.387867630E-1,-4.690662324E-1,-1.665406376E-1,5.167404377E-1
8.614751667E-1,4.389912635E-2,-2.687139511E-1,-2.367482707E-2,2.733035277E-1
8.714161667E-1,-6.255777925E-2,-7.560517639E-2,8.004527539E-2,1.266367425E-1
8.813571667E-1,-1.530168355E-1,-3.488916904E-2,1.050366461E-1,1.888494191E-1
8.912981667E-1,-1.976368278E-1,-1.135843545E-1,5.227416754E-2,2.338681464E-1
9.012391667E-1,-2.199802101E-1,-3.118045032E-1,-1.035699062E-2,3.817336877E-1
9.111801667E-1,-2.142454237E-1,-5.353043675E-1,5.195090175E-2,5.789220705E-1
9.211201667E-1,-2.085617036E-1,-7.881461978E-1,1.264230013E-1,8.250182959E-1
9.310611667E-1,-1.967988759E-1,-9.512825608E-1,1.658065021E-1,9.854745579E-1
9.410021667E-1,-1.553158760E-1,-1.091473222E0,2.210106403E-1,1.124403183E0
9.509431667E-1,-8.898158371E-2,-1.151931643E0,2.593940496E-1,1.184123941E0
9.608841667E-1,-3.011453897E-2,-1.089278340E0,2.947368622E-1,1.128850746E0
9.708251667E-1,1.695358381E-2,-9.359416962E-1,3.320467174E-1,9.932418161E-1
9.807661667E-1,4.056916386E-2,-7.021204233E-1,3.340632617E-1,7.785995176E-1
9.907071667E-1,-5.716736428E-3,-4.450166225E-1,3.123403192E-1,5.437177120E-1
1.000648167E0,-6.627808511E-2,-2.554730475E-1,2.555148602E-1,3.673514752E-1
1.010589167E0,-1.130012199E-1,-1.293393672E-1,1.816242337E-1,2.499706180E-1
1.020530167E0,-1.451386511E-1,-1.262604892E-1,1.350247711E-1,2.350289940E-1
1.030471167E0,-1.524266899E-1,-3.079468012E-1,1.012949049E-1,3.582258867E-1
1.040411167E0,-1.116257235E-1,-5.448219180E-1,9.165213257E-2,5.636411428E-1
1.050352167E0,-4.563403130E-2,-7.396095395E-1,1.214543432E-1,7.509033847E-1
1.060293167E0,3.945236653E-2,-8.031437993E-1,1.770166755E-1,8.233658695E-1
1.070234167E0,1.267778724E-1,-7.576434016E-1,2.538158000E-1,8.090232464E-1
1.080175167E0,1.802831739E-1,-6.332554221E-1,3.150895238E-1,7.299286680E-1
1.090116167E0,2.021834254E-1,-4.464984238E-1,3.516827524E-1,6.032576053E-1
1.100057167E0,1.971266121E-1,-2.258403450E-1,3.618392646E-1,4.698834069E-1
1.109998167E0,1.678862721E-1,-5.357159302E-2,3.723269403E-1,4.119260448E-1
1.119939167E0,1.427761316E-1,3.437397256E-2,3.345233500E-1,3.653388365E-1
1.129880167E0,1.212833449E-1,-1.278184801E-1,4.382311106E-1,4.723279792E-1
1.139821167E0,6.154357642E-2,-7.538429648E-2,3.938305974E-1,4.056759093E-1
1.149761167E0,1.278850529E-2,-6.191821396E-2,2.337999642E-1,2.421979239E-1
1.159702167E0,3.056217544E-2,-2.125370204E-1,1.597209424E-1,2.676131743E-1
1.169643167E0,6.182522327E-2,-4.199368954E-1,1.331596226E-1,4.448604718E-1
1.179584167E0,8.830530196E-2,-5.156698227E-1,1.433496773E-1,5.424595122E-1
1.189525167E0,1.032873690E-1,-5.220566392E-1,1.932780296E-1,5.661870820E-1
1.199466167E0,1.392688006E-1,-4.719193876E-1,2.834068835E-1,5.678231845E-1
1.209407167E0,1.910358369E-1,-2.756245136E-1,3.235054314E-1,4.659606503E-1
1.219348167E0,2.036935687E-1,-6.713893265E-2,3.554686904E-1,4.151586396E-1
1.229289167E0,1.922672838E-1,3.496666253E-2,3.779154122E-1,4.254520357E-1
1.239230167E0,1.784750372E-1,9.629153460E-2,3.835328221E-1,4.338465445E-1
1.249171167E0,1.638035774E-1,1.548213810E-1,3.629701436E-1,4.272570621E-1
1.259111167E0,1.230468154E-1,2.501713336E-1,3.422582150E-1,4.414373122E-1
1.269052167E0,7.241845131E-2,3.302273154E-1,3.235765994E-1,4.679704345E-1
1.278993167E0,2.116751485E-2,4.052554965E-1,3.045871854E-1,5.073986940E-1
1.288934167E0,-4.400392249E-2,4.921499491E-1,2.924273908E-1,5.741617337E-1
1.298875167E0,-1.103904024E-1,6.032570004E-1,3.042848408E-1,6.846125283E-1
1.308816167E0,-1.866006702E-1,6.830301285E-1,3.149753213E-1,7.749576889E-1
1.318757167E0,-3.167219460E-1,7.651148438E-1,2.995287478E-1,8.805855927E-1
1.328698167E0,-4.261110127E-1,8.199975491E-1,3.613092899E-1,9.922252661E-1
1.338639167E0,-4.280228913E-1,9.845241904E-1,3.674012721E-1,1.134669631E0
1.348580167E0,-4.316861331E-1,1.070678711E0,3.507698178E-1,1.206542699E0
1.358521167E0,-4.421765804E-1,1.153573275E0,3.390116990E-1,1.281085618E0
1.368461167E0,-4.747262299E-1,1.262871981E0,3.633492589E-1,1.397223431E0
1.378402167E0,-5.315021276E-1,1.548502564E0,3.582647443E-1,1.675920144E0
1.388343167E0,-5.813350677E-1,1.738899350E0,3.007009029E-1,1.857994199E0
1.398284167E0,-5.902308226E-1,1.728853464E0,2.165151983E-1,1.839615600E0
1.408225167E0,-5.650700927E-1,1.633664846E0,1.787994057E-1,1.737853350E0
1.418166167E0,-4.640111029E-1,1.611935019E0,9.639215469E-2,1.680158403E0
1.428107167E0,-4.233313799E-1,1.444929481E0,3.664785624E-2,1.506112123E0
1.438048167E0,-2.816773057E-1,1.167385697E0,1.353055425E-2,1.200964007E0
1.447989167E0,-5.092758685E-2,9.495154619E-1,-1.848643646E-2,9.510599244E-1
1.457930167E0,2.142486870E-1,8.873565197E-1,-3.646517172E-2,9.135829474E-1
1.467870167E0,3.891704679E-1,6.064514518E-1,-2.825444750E-2,7.211347518E-1
1.477811167E0,4.654612541E-1,5.280437469E-1,2.140152082E-2,7.042317821E-1
1.487752167E0,4.055984020E-1,3.899536133E-1,4.590531066E-2,5.645185398E-1
1.497693167E0,2.867814600E-1,3.161142766E-1,7.932212204E-2,4.341242227E-1
1.507634167E0,2.093850672E-1,2.258605361E-1,1.117458045E-1,3.276312149E-1
1.517575167E0,1.909277737E-1,1.400308460E-1,1.315567940E-1,2.708675740E-1
1.527516167E0,2.010355294E-1,5.436585099E-2,1.600978374E-1,2.626827885E-1
1.537457167E0,2.067472041E-1,-4.288187250E-2,2.028889805E-1,2.928262280E-1
1.547398167E0,2.055939585E-1,-1.621551514E-1,2.506665289E-1,3.624870723E-1
1.557339167E0,2.429202944E-1,-3.033852577E-1,2.733337581E-1,4.751465325E-1
1.567279167E0,3.414000571E-1,-3.623805344E-1,2.707901001E-1,5.667459122E-1
1.577220167E0,4.100406468E-1,-3.428315818E-1,2.561155558E-1,5.926736061E-1
1.587161167E0,4.736739695E-1,-4.196171761E-1,1.953064203E-1,6.622614300E-1
1.597102167E0,5.640219450E-1,-3.643808067E-1,1.310811043E-1,6.841610794E-1
1.607043167E0,5.318397284E-1,-3.828993440E-1,8.810641617E-2,6.612322926E-1
1.616984167E0,4.279407859E-1,-4.851229191E-1,5.344164744E-2,6.491021280E-1
1.626925167E0,3.368118405E-1,-5.911211967E-1,9.656826034E-3,6.804114487E-1
1.636866167E0,2.618686259E-1,-7.018399835E-1,-2.942106687E-2,7.496800243E-1
1.646807167E0,1.972686499E-1,-8.389748931E-1,-4.853883013E-2,8.632206030E-1
1.656748167E0,1.730312258E-1,-1.013584495E0,-7.012853771E-2,1.030636378E0
1.666689167E0,2.012918144E-1,-1.161598444E0,-1.008508280E-1,1.183216053E0
1.676629167E0,2.439127713E-1,-1.272011518E0,-1.206402406E-1,1.300792378E0
1.686570167E0,3.043874800E-1,-1.339647055E0,-1.318608373E-1,1.380106246E0
1.696511167E0,3.752086461E-1,-1.317834735E0,-1.515652984E-1,1.378565180E0
1.706452167E0,4.338497519E-1,-1.225393891E0,-1.784271002E-1,1.312117383E0
1.716393167E0,4.355954528E-1,-1.114563704E0,-2.198003829E-1,1.216679028E0
1.726334167E0,4.027154446E-1,-9.900444746E-1,-2.843315005E-1,1.105989237E0
1.736275167E0,3.207396269E-1,-8.565875888E-1,-3.667608500E-1,9.854591451E-1
1.746216167E0,1.917405576E-1,-7.287362218E-1,-4.382219911E-1,8.716991659E-1
1.756157167E0,6.602764875E-2,-6.524148583E-1,-5.147439241E-1,8.336462710E-1
1.766098167E0,-9.151550941E-3,-5.678294301E-1,-5.974231958E-1,8.242745219E-1
