"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
9.136749999E-3,-5.657596588E-1,-3.712423742E-1,-1.252462715E-1,6.881798605E-1
1.907775000E-2,-6.430675387E-1,-5.942696333E-1,-1.374611259E-1,8.863339199E-1
2.901775000E-2,-7.109541297E-1,-8.078069091E-1,-1.283655316E-1,1.083736816E0
3.895775000E-2,-8.060351014E-1,-1.034267664E0,-9.028711915E-2,1.314364466E0
4.889875000E-2,-8.570519686E-1,-1.296616793E0,-3.412512690E-2,1.554643917E0
5.883875000E-2,-8.007737994E-1,-1.583193421E0,-9.842207655E-4,1.774187435E0
6.877875001E-2,-6.357696056E-1,-1.838104248E0,-8.591692895E-3,1.944968903E0
7.871975000E-2,-3.650374115E-1,-2.051043987E0,-9.490767866E-2,2.085435498E0
8.865975001E-2,-4.903464019E-2,-2.177714348E0,-2.528787851E-1,2.192895770E0
9.859975000E-2,1.930980980E-1,-2.210265636E0,-4.329819679E-1,2.260538530E0
1.085407500E-1,2.690953314E-1,-2.154036283E0,-4.938099384E-1,2.226237378E0
1.184807500E-1,1.959926188E-1,-2.137209892E0,-4.575198293E-1,2.194402794E0
1.284207500E-1,4.742745310E-2,-2.014238596E0,-3.982610106E-1,2.053781468E0
1.383617500E-1,-1.737771034E-1,-1.819697261E0,-3.869540095E-1,1.868483344E0
1.483017500E-1,-4.109444022E-1,-1.608969331E0,-3.797999620E-1,1.703498054E0
1.582417500E-1,-5.910528898E-1,-1.401522040E0,-3.489863873E-1,1.560576511E0
1.681820833E-1,-7.964769006E-1,-1.042618513E0,-3.346551061E-1,1.354039459E0
1.781220833E-1,-8.112108111E-1,-9.290352464E-1,-3.032966554E-1,1.270101701E0
1.880620833E-1,-7.443556786E-1,-1.113610983E0,-2.440234125E-1,1.361522025E0
1.980030833E-1,-6.709895730E-1,-1.342142701E0,-2.048989087E-1,1.514449603E0
2.079430833E-1,-6.058945656E-1,-1.504436016E0,-2.528564036E-1,1.641454328E0
2.178830833E-1,-5.551717281E-1,-1.620981455E0,-2.938546836E-1,1.738432368E0
