"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.696693062798961E9,"2023-10-07 18:37:42.799 UTC+03:00"
"PAUSE",6.051440254166664E1,1.696693123312219E9,"2023-10-07 18:38:43.312 UTC+03:00"
