"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.696693415377872E9,"2023-10-07 18:43:35.378 UTC+03:00"
"PAUSE",5.022278654166439E1,1.696693465599709E9,"2023-10-07 18:44:25.600 UTC+03:00"
