"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.382249997E-3,5.987548828E-4,2.640958099E0,8.390352173E0,8.796173579E0
1.332225000E-2,1.669029236E-1,2.575693817E0,8.221952362E0,8.617572504E0
2.326325000E-2,3.760180664E-1,2.611469421E0,8.073012085E0,8.493214129E0
3.320325000E-2,5.354365540E-1,2.575843506E0,8.081993408E0,8.499428188E0
4.314325000E-2,6.042933655E-1,2.425256653E0,8.267607422E0,8.637150733E0
5.308324999E-2,6.866221619E-1,2.219584351E0,8.668324127E0,8.974288153E0
6.302425000E-2,8.864566040E-1,1.973047028E0,9.438173218E0,9.682862881E0
7.296424999E-2,1.476828918E0,1.735491028E0,1.074375824E1,1.098277260E1
8.290425000E-2,1.794169006E0,1.716480560E0,1.140852585E1,1.167560748E1
9.284524999E-2,1.868713989E0,1.758992157E0,1.098266144E1,1.127851930E1
1.027852500E-1,1.715881805E0,1.926643524E0,1.035711227E1,1.067361140E1
1.127252500E-1,1.248553619E0,2.028431854E0,9.761800232E0,1.004819216E1
1.226652500E-1,9.410929871E-1,1.903741150E0,9.354347534E0,9.592377399E0
1.326062500E-1,1.166374512E0,1.767225037E0,8.846603394E0,9.096477639E0
1.425462500E-1,1.599423981E0,1.696422272E0,8.345744934E0,8.665302309E0
1.524862500E-1,1.803749084E0,1.621727600E0,7.961943054E0,8.323223436E0
1.624272500E-1,1.969005432E0,1.248403931E0,7.901468811E0,8.238246424E0
1.723672500E-1,2.677182770E0,6.060896301E-1,8.082442474E0,8.535837895E0
1.823072500E-1,2.706222382E0,6.307882690E-1,8.156239014E0,8.616598416E0
1.922482500E-1,2.703078918E0,1.021924896E0,7.652835846E0,8.180272772E0
2.021882500E-1,2.656376038E0,1.628463593E0,7.665110321E0,8.274185371E0
2.121282500E-1,3.771107941E0,1.447040863E0,8.566685486E0,9.471181688E0
2.220682500E-1,5.493725739E0,3.649411011E-1,9.397906952E0,1.089196307E1
2.320092500E-1,5.529052277E0,-4.135899353E-1,9.363478546E0,1.088192107E1
2.419492500E-1,4.212989044E0,-7.529342651E-1,8.557704163E0,9.568201881E0
2.518892500E-1,3.518732758E0,-8.472381592E-1,8.202043762E0,8.965088655E0
2.618302500E-1,3.352877655E0,-8.939410400E-1,8.168962555E0,8.875408068E0
2.717702500E-1,3.489244080E0,-1.062041473E0,8.165968781E0,8.943478208E0
2.817100000E-1,3.817062378E0,-1.563049622E0,8.042924652E0,9.038900723E0
2.916500000E-1,4.093387756E0,-1.395547943E0,8.986113281E0,9.972643044E0
