"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.274250004E-3,-7.411910295E-1,-3.266636133E-1,-6.703918427E-2,8.127530442E-1
1.321425001E-2,-9.295402169E-1,-3.578958511E-1,-2.393618599E-2,9.963470260E-1
2.315425000E-2,-1.120232463E0,-4.038068950E-1,9.965879470E-2,1.194952993E0
3.309525001E-2,-1.347576380E0,-4.810199440E-1,2.268684059E-1,1.448727566E0
4.303525000E-2,-1.544782400E0,-5.691898465E-1,2.835935950E-1,1.670555319E0
5.297624999E-2,-1.635686040E0,-7.993245125E-1,2.710136175E-1,1.840607747E0
6.291625000E-2,-1.606502533E0,-1.033644319E0,1.168832183E-1,1.913878954E0
7.285724999E-2,-1.396393180E0,-1.387340546E0,3.179495782E-2,1.968664172E0
8.279725000E-2,-1.230421305E0,-1.677089930E0,1.255321503E-1,2.083824738E0
9.273824999E-2,-1.131363630E0,-1.884190083E0,2.353601158E-1,2.210328101E0
1.026782500E-1,-1.051904917E0,-2.036931753E0,3.101959825E-1,2.313399332E0
1.126192500E-1,-9.481731653E-1,-2.164156675E0,3.630016744E-1,2.390476246E0
1.225592500E-1,-7.851766348E-1,-2.191264868E0,3.822840750E-1,2.358873711E0
1.325002500E-1,-6.000102162E-1,-2.136966705E0,3.860942423E-1,2.252933138E0
1.424402500E-1,-4.416421652E-1,-2.054290056E0,3.662312925E-1,2.132904310E0
1.523812500E-1,-3.633460104E-1,-1.931679130E0,2.728667259E-1,1.984404403E0
1.623212500E-1,-3.213859499E-1,-1.893368006E0,1.701055914E-1,1.927969721E0
1.722622500E-1,-2.716982961E-1,-2.072018862E0,1.103469133E-1,2.092667811E0
1.822022500E-1,-2.157426924E-1,-2.425485373E0,9.544090927E-2,2.436931096E0
1.921422500E-1,-1.727440953E-1,-2.791733742E0,9.006345272E-2,2.798522688E0
2.020832500E-1,-1.350413561E-1,-3.144086838E0,1.423495412E-1,3.150203423E0
2.120232500E-1,-1.563383937E-1,-3.552248240E0,4.737820625E-1,3.587112863E0
2.219642500E-1,-1.504129171E-1,-4.087068081E0,9.793139100E-1,4.205449474E0
2.319042500E-1,-7.293116301E-2,-4.616451740E0,1.645679355E0,4.901551404E0
2.418452500E-1,1.285165995E-1,-4.997902870E0,2.404247522E0,5.547608112E0
2.517852500E-1,8.299852610E-1,-4.908005238E0,3.168756485E0,5.900712551E0
2.617262500E-1,1.400965929E0,-4.607478619E0,3.586151361E0,6.004335629E0
2.716662500E-1,1.979841232E0,-4.612488270E0,3.774331093E0,6.280158799E0
2.816072500E-1,2.386532784E0,-4.901119232E0,3.779722929E0,6.633461681E0
2.915472500E-1,2.602570534E0,-5.337810040E0,3.692180395E0,6.992695151E0
3.014882500E-1,2.751750946E0,-5.678894043E0,3.608756781E0,7.269463276E0
3.114282500E-1,3.034914017E0,-5.639694214E0,3.841702938E0,7.468302041E0
3.213692500E-1,3.326024771E0,-5.300714970E0,4.238469601E0,7.558084712E0
3.313092500E-1,3.449609756E0,-4.703528881E0,4.530560970E0,7.385727731E0
3.412492500E-1,3.584120035E0,-4.185082436E0,4.690143585E0,7.235902036E0
3.511902500E-1,3.864224434E0,-3.676704407E0,4.682476521E0,7.097603267E0
3.611302500E-1,4.201836109E0,-3.304918766E0,4.572238922E0,7.034435549E0
3.710712500E-1,4.531675816E0,-3.022831440E0,4.398084641E0,7.001195906E0
3.810112500E-1,4.787715435E0,-2.693603754E0,4.226606369E0,6.931228006E0
3.909522500E-1,4.972748756E0,-2.475989342E0,4.150318623E0,6.934255409E0
4.008922500E-1,5.119622707E0,-2.231966019E0,3.999926567E0,6.869615820E0
