"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.108332500E-1,5.079194069E0,-1.841583252E0,3.468785763E0,6.420445151E0
4.207732500E-1,4.863881588E0,-1.475474834E0,2.830534458E0,5.817756905E0
4.307142500E-1,4.592892170E0,-9.688825011E-1,2.091564178E0,5.138874633E0
4.406542500E-1,4.243978024E0,-3.045651317E-1,1.224962473E0,4.427713004E0
4.505952500E-1,3.768435717E0,3.351948559E-1,3.691228926E-1,3.801278081E0
4.605352500E-1,3.133420706E0,8.468111753E-1,-3.750706315E-1,3.267429030E0
4.704762500E-1,2.432500124E0,1.157104373E0,-9.804873466E-1,2.866583824E0
4.804162500E-1,1.825986981E0,1.141709805E0,-1.410203695E0,2.574180296E0
4.903572500E-1,1.297855973E0,7.881299257E-1,-1.601976514E0,2.207239828E0
5.002972500E-1,1.020275235E0,3.306769133E-1,-1.739874244E0,2.043886289E0
5.102382500E-1,9.614037275E-1,-2.505478561E-1,-1.627804995E0,1.907044954E0
5.201782500E-1,1.054822922E0,-9.891231656E-1,-1.258564830E0,1.917029333E0
5.301182500E-1,1.420136690E0,-1.445136189E0,-9.721977711E-1,2.247304014E0
5.400592500E-1,1.803022981E0,-1.893246055E0,-6.703074574E-1,2.698996958E0
5.499992500E-1,1.981980920E0,-2.256802082E0,-2.993829250E-1,3.018448963E0
5.599402500E-1,1.941889405E0,-2.280633450E0,2.060865313E-1,3.002448176E0
5.698802500E-1,1.693596482E0,-2.275660276E0,6.747357845E-1,2.915847581E0
5.798212500E-1,1.398572803E0,-2.010000229E0,9.624046087E-1,2.631032010E0
5.897612500E-1,1.289680243E0,-1.515511513E0,8.989542723E-1,2.183613761E0
5.997022500E-1,1.339422464E0,-1.075411916E0,7.339458466E-1,1.867950704E0
6.096422500E-1,1.212123632E0,-9.487527609E-1,5.740081072E-1,1.642820991E0
6.195832500E-1,8.631430268E-1,-9.650908113E-1,4.309023023E-1,1.364585268E0
6.295232500E-1,4.174669683E-1,-1.014809012E0,3.186479211E-1,1.142651521E0
6.394642500E-1,-1.106097549E-1,-1.143812418E0,1.674442142E-1,1.161283312E0
6.494042500E-1,-5.097051859E-1,-1.290224195E0,-4.086184502E-2,1.387857175E0
6.593452500E-1,-6.874505877E-1,-1.345350623E0,-2.299039960E-1,1.528205633E0
6.692852500E-1,-5.809188485E-1,-1.238236427E0,-3.157155812E-1,1.403699571E0
6.792262500E-1,-1.397985071E-1,-1.010153174E0,-4.551509619E-1,1.116743237E0
6.891662500E-1,3.098876774E-1,-9.656061530E-1,-5.904384851E-1,1.173474849E0
6.991062500E-1,4.307652712E-1,-1.010104299E0,-8.602789640E-1,1.394972870E0
7.090472500E-1,4.089076519E-1,-1.138591170E0,-1.131105423E0,1.656198901E0
7.189872500E-1,3.824948668E-1,-1.054667354E0,-1.363270521E0,1.765540162E0
7.289282500E-1,2.442552149E-1,-8.658766150E-1,-1.639062643E0,1.869740429E0
7.388682500E-1,-1.590711623E-2,-7.829048038E-1,-1.976973414E0,2.126409380E0
7.488092500E-1,-2.734995186E-1,-8.988902569E-1,-2.222683907E0,2.413116124E0
7.587492500E-1,-4.377871454E-1,-9.211740494E-1,-2.384489059E0,2.593454701E0
7.686902500E-1,-5.583519340E-1,-9.341061115E-1,-2.608366013E0,2.826284551E0
7.786302500E-1,-7.204188108E-1,-9.363971949E-1,-2.658113003E0,2.908849894E0
7.885712500E-1,-9.060943723E-1,-6.685497165E-1,-2.382711172E0,2.635389585E0
7.985112500E-1,-9.738512635E-1,-3.464907110E-1,-2.063389063E0,2.307816397E0
8.084522500E-1,-8.736985326E-1,-1.920542568E-1,-1.725759625E0,1.943831332E0
8.183922500E-1,-6.623719931E-1,-2.559714615E-1,-1.388278484E0,1.559350889E0
8.283332500E-1,-3.871603608E-1,-4.117370844E-1,-9.977639318E-1,1.146714191E0
8.382732500E-1,-1.238792986E-1,-7.142522931E-1,-6.556022763E-1,9.774030712E-1
8.482142500E-1,1.093262583E-1,-1.235588551E0,-2.948283851E-1,1.274972578E0
8.581542500E-1,3.306991458E-1,-1.543317080E0,-1.667303294E-1,1.587132173E0
8.680942500E-1,5.047907829E-1,-1.635253906E0,-2.609891072E-2,1.711592891E0
8.780352500E-1,5.341432095E-1,-1.669455647E0,3.045190275E-1,1.779079246E0
8.879752500E-1,3.647376597E-1,-1.578982830E0,6.394410729E-1,1.742155339E0
8.979162500E-1,2.586164884E-2,-1.339971662E0,9.514608979E-1,1.643615137E0
9.078562500E-1,-3.591685891E-1,-1.064632416E0,1.237716436E0,1.671641778E0
9.177972500E-1,-6.795037389E-1,-9.253386259E-1,1.595318437E0,1.965456135E0
9.277372500E-1,-8.945038915E-1,-1.105023384E0,2.057473183E0,2.500881802E0
9.376782500E-1,-8.681952357E-1,-1.592373013E0,2.676040173E0,3.232739672E0
9.476182500E-1,-2.352548093E-1,-2.094015837E0,3.473656178E0,4.062823450E0
9.575592500E-1,3.241242468E-1,-2.615931273E0,4.328058720E0,5.067567980E0
9.674992500E-1,5.571956038E-1,-2.923024893E0,5.069199085E0,5.878037158E0
9.774402500E-1,4.284809530E-1,-2.737571239E0,5.505326748E0,6.163320113E0
9.873802500E-1,2.329511009E-2,-2.240774632E0,5.617442131E0,6.047914492E0
9.973212500E-1,-5.930218697E-1,-1.540475368E0,5.347931385E0,5.596883901E0
1.007261250E0,-1.140757680E0,-1.218004346E0,4.859293461E0,5.137859049E0
1.017201250E0,-1.483633995E0,-1.210805416E0,4.261068821E0,4.671608618E0
1.027142250E0,-1.618890524E0,-1.132599592E0,3.459113836E0,3.983598486E0
1.037082250E0,-1.616394520E0,-8.005286455E-1,2.430117607E0,3.026392067E0
1.047023250E0,-1.439455986E0,-1.548667550E-1,1.320173144E0,1.959304565E0
1.056963250E0,-1.219246864E0,4.174796641E-1,4.929830730E-1,1.379813211E0
1.066904250E0,-1.036890388E0,7.400352955E-1,1.147526652E-1,1.279047336E0
1.076844250E0,-9.249287248E-1,8.923433423E-1,1.264050603E-1,1.291413189E0
1.086785250E0,-8.432793617E-1,1.018532991E0,4.038766325E-1,1.382622823E0
1.096724792E0,-7.991508245E-1,1.277976274E0,7.540662289E-1,1.685372741E0
1.106665792E0,-7.487936616E-1,1.591817498E0,1.208178878E0,2.134073826E0
1.116605792E0,-6.236258745E-1,1.866059184E0,1.692163467E0,2.595092158E0
1.126546792E0,-4.127807915E-1,1.951051354E0,2.229005098E0,2.990895033E0
1.136486792E0,-1.638649404E-1,1.745833755E0,2.875801325E0,3.368236998E0
1.146427792E0,1.234390773E-2,1.502255440E0,3.537681580E0,3.843450889E0
1.156367792E0,2.211141214E-2,1.384306669E0,3.992918968E0,4.226132482E0
1.166308792E0,-3.554256260E-2,1.165886641E0,4.327862263E0,4.482292572E0
1.176248792E0,-5.702921376E-2,8.342242837E-1,4.647746086E0,4.722364468E0
1.186188792E0,-3.760917485E-2,5.072059035E-1,4.819965363E0,4.846724500E0
1.196129792E0,3.466311470E-2,1.187039018E-1,4.806287766E0,4.807878350E0
1.206069792E0,1.844302267E-1,-2.594463527E-1,4.598272800E0,4.609277564E0
1.216010792E0,3.795775771E-1,-4.696667790E-1,4.358065605E0,4.399704745E0
1.225950792E0,5.992695093E-1,-6.778679490E-1,4.214561939E0,4.310587111E0
1.235891792E0,7.073839307E-1,-1.123695970E0,4.001658440E0,4.216201481E0
1.245831792E0,8.679302335E-1,-1.552133322E0,3.928757429E0,4.312488339E0
1.255772792E0,1.075036287E0,-1.943287969E0,4.009864330E0,4.583784800E0
1.265712792E0,1.277100682E0,-2.389664173E0,4.138517857E0,4.946595907E0
1.275653792E0,1.506812215E0,-2.782026291E0,4.273907661E0,5.317559594E0
1.285593792E0,1.707854986E0,-3.023342848E0,4.408843517E0,5.612064842E0
1.295534792E0,1.843506694E0,-3.040084362E0,4.551374435E0,5.775434106E0
1.305474792E0,1.408189535E0,-2.371199131E0,4.680838585E0,5.432847591E0
1.315415792E0,9.856288433E-1,-2.072175741E0,4.776360989E0,5.298962239E0
1.325355792E0,6.764464974E-1,-1.710709691E0,4.907713890E0,5.241160476E0
1.335296792E0,5.625429749E-1,-1.666091204E0,5.028658867E0,5.327262383E0
1.345236792E0,6.954498887E-1,-1.979044676E0,5.122074604E0,5.534972143E0
1.355176792E0,1.061600208E0,-2.562355042E0,5.144407272E0,5.844449037E0
1.365117792E0,1.520445347E0,-3.105916023E0,5.076760769E0,6.142635290E0
1.375057792E0,1.713385701E0,-3.275745630E0,4.963169575E0,6.188638964E0
1.384998792E0,1.796751976E0,-3.671701193E0,5.198285103E0,6.613008039E0
1.394938792E0,1.898084402E0,-3.750478983E0,6.277747154E0,7.555059651E0
1.404879792E0,1.565657973E0,-3.614379168E0,6.739917755E0,7.806504532E0
1.414819792E0,3.344713151E-2,-3.859576702E0,3.607361555E0,5.283039695E0
1.424760792E0,-1.776523709E0,-4.866963387E0,-1.253430247E0,5.330521220E0
1.434700792E0,-2.261333227E0,-4.243819714E0,-3.407523632E0,5.893628002E0
1.444641792E0,2.202208191E-1,-5.247266889E-1,-2.743340492E0,2.801740952E0
1.454581792E0,2.031525612E0,2.290872097E0,-1.829925537E0,3.567046222E0
1.464522792E0,2.712261438E0,3.875311375E0,-1.245540977E0,4.891397825E0
1.474462792E0,2.631147861E0,4.370716572E0,-9.009612799E-1,5.180524457E0
1.484403792E0,2.222306490E0,4.601516247E0,-6.609358788E-1,5.152614302E0
1.494343792E0,1.463620305E0,4.808822632E0,-4.427946210E-1,5.046090227E0
1.504283792E0,4.660950005E-1,4.680748463E0,-2.956933379E-1,4.713182075E0
1.514224792E0,-4.867191911E-1,4.091351986E0,-2.808523774E-1,4.129762064E0
1.524164792E0,-1.181606889E0,3.173746347E0,-3.967787325E-1,3.409735192E0
1.534105792E0,-1.480476856E0,2.204551458E0,-5.407007337E-1,2.710021428E0
1.544045792E0,-1.335256577E0,1.229264379E0,-5.584589839E-1,1.898914815E0
1.553986792E0,-9.565409422E-1,3.299767077E-1,-4.052030742E-1,1.089974648E0
1.563926792E0,-6.502020359E-1,-3.402594328E-1,-2.195794135E-1,7.659988825E-1
1.573867792E0,-5.147191286E-1,-7.918738723E-1,-8.750754595E-2,9.485028105E-1
1.583807792E0,-4.880675375E-1,-1.073688745E0,-4.360426962E-2,1.180219800E0
1.593748792E0,-4.938329756E-1,-1.240187407E0,-2.845998481E-2,1.335195035E0
1.603688792E0,-4.570427537E-1,-1.313642502E0,6.573898718E-3,1.390894646E0
1.613629792E0,-3.444384038E-1,-1.311554074E0,9.678296000E-2,1.359477416E0
1.623569792E0,-1.598882526E-1,-1.243153214E0,2.176310867E-1,1.272146791E0
1.633509792E0,4.924274981E-2,-1.123368025E0,3.331781924E-1,1.172769489E0
1.643450792E0,2.292058617E-1,-1.003983617E0,3.870733976E-1,1.100156464E0
1.653390792E0,3.680878580E-1,-8.698445559E-1,3.843670487E-1,1.019733421E0
1.663331792E0,4.903450608E-1,-6.818339229E-1,3.473363221E-1,9.088334818E-1
1.673271792E0,5.762615800E-1,-4.612121582E-1,2.816708386E-1,7.900205850E-1
1.683212792E0,5.851981044E-1,-2.152940035E-1,1.809817851E-1,6.492786273E-1
1.693152792E0,5.091414452E-1,9.027349204E-2,8.231354505E-2,5.235931954E-1
1.703093792E0,4.105996788E-1,4.603431523E-1,1.592333312E-3,6.168552906E-1
1.713033792E0,3.546199501E-1,8.124192953E-1,-3.501563147E-2,8.871338765E-1
1.722974792E0,3.499900699E-1,1.118916631E0,-5.869464017E-3,1.172391541E0
1.732914792E0,3.215021491E-1,1.350427151E0,2.947651222E-2,1.388483340E0
1.742855792E0,2.573282123E-1,1.461683393E0,3.351679444E-2,1.484540173E0
1.752795792E0,2.067956328E-1,1.438118219E0,-1.041898690E-2,1.452947694E0
1.762736792E0,1.759887189E-1,1.271649599E0,-6.858109683E-2,1.285600287E0
1.772676792E0,1.698050052E-1,9.646282792E-1,-1.192392930E-1,9.866911704E-1
1.782616792E0,1.689144522E-1,5.677022338E-1,-1.422133148E-1,6.091326172E-1
1.792557792E0,1.771581769E-1,1.586088836E-1,-1.447116137E-1,2.783581303E-1
1.802497792E0,1.756026149E-1,-2.210284621E-1,-1.427762955E-1,3.163462185E-1
1.812438792E0,1.508621126E-1,-5.582320690E-1,-1.467662454E-1,5.965926170E-1
1.822378792E0,9.602389485E-2,-8.186812401E-1,-1.765827239E-1,8.429952667E-1
1.832319792E0,5.196497217E-2,-9.842551351E-1,-2.225353867E-1,1.010435811E0
1.842259792E0,4.425059259E-2,-1.046467066E0,-2.574307621E-1,1.078574073E0
1.852200792E0,8.476056159E-2,-1.021890283E0,-2.699410021E-1,1.060335912E0
1.862140792E0,1.373111308E-1,-9.215442538E-1,-2.485371828E-1,9.642970961E-1
1.872081792E0,1.487027109E-1,-7.688311934E-1,-1.950809062E-1,8.070132962E-1
1.882021792E0,7.946798205E-2,-5.796173215E-1,-1.235441491E-1,5.979419339E-1
1.891962792E0,-5.486161262E-2,-4.045876861E-1,-7.005331665E-2,4.142565140E-1
1.901902792E0,-2.266086191E-1,-2.944854200E-1,-7.958343625E-2,3.800087527E-1
1.911843792E0,-3.860030174E-1,-2.687804103E-1,-1.545133591E-1,4.950915234E-1
1.921783792E0,-4.897802770E-1,-3.027498126E-1,-2.391028106E-1,6.234679806E-1
1.931723792E0,-5.259448290E-1,-3.724404573E-1,-2.975708544E-1,7.098438355E-1
1.941664792E0,-4.973677993E-1,-4.744816124E-1,-3.246887624E-1,7.602172852E-1
1.951604792E0,-4.247748554E-1,-6.014509201E-1,-3.259182572E-1,8.052326356E-1
1.961545792E0,-3.425814509E-1,-7.407832742E-1,-3.181735277E-1,8.759887577E-1
1.971485792E0,-2.740283906E-1,-8.771079183E-1,-3.202939630E-1,9.731382645E-1
1.981426792E0,-2.157509625E-1,-9.801927805E-1,-3.419076204E-1,1.060295801E0
1.991366792E0,-1.638102233E-1,-1.056426287E0,-3.882478774E-1,1.137368323E0
2.001307792E0,-1.150264367E-1,-1.094795585E0,-4.201315045E-1,1.178269466E0
2.011247792E0,-7.374664396E-2,-1.071094394E0,-3.936385214E-1,1.143517841E0
2.021188792E0,-3.285007551E-2,-9.766683578E-1,-3.343453705E-1,1.032834467E0
2.031128792E0,3.237549914E-3,-8.452781439E-1,-2.928124666E-1,8.945640071E-1
2.041069792E0,4.912700877E-2,-7.081389427E-1,-2.962897718E-1,7.691955889E-1
2.051009792E0,9.167718142E-2,-5.877706409E-1,-3.342961967E-1,6.823730497E-1
2.060949792E0,1.263392866E-1,-4.963043928E-1,-3.852491379E-1,6.408561179E-1
2.070890792E0,1.719465405E-1,-4.448735714E-1,-4.251196086E-1,6.389090616E-1
2.080830792E0,2.250305414E-1,-4.328280985E-1,-4.352300465E-1,6.537615015E-1
2.090772750E0,2.581184804E-1,-4.448953867E-1,-4.162268341E-1,6.616659523E-1
2.100712750E0,2.410513759E-1,-4.431507587E-1,-3.624640107E-1,6.211831613E-1
2.110653750E0,1.741201729E-1,-4.141868651E-1,-3.018065095E-1,5.412538803E-1
2.120593750E0,9.764750302E-2,-3.526779711E-1,-2.451102138E-1,4.404495465E-1
2.130534750E0,4.913001135E-2,-2.690307498E-1,-1.906140447E-1,3.333541906E-1
2.140474750E0,2.743936330E-2,-1.730147451E-1,-1.418507695E-1,2.254077672E-1
2.150415750E0,3.476964310E-2,-9.333998710E-2,-9.648237377E-2,1.386727433E-1
2.160355750E0,5.847017840E-2,-3.928687051E-2,-3.939378262E-2,8.070991305E-2
2.170296750E0,8.886611462E-2,-2.184871025E-2,1.604676247E-2,9.290883194E-2
2.180236750E0,9.601696581E-2,-3.526385128E-2,4.821588472E-2,1.130821315E-1
2.190176750E0,7.928729057E-2,-9.340284765E-2,7.584455609E-2,1.440935914E-1
2.200117750E0,6.609132141E-2,-1.790346503E-1,1.012324765E-1,2.160312086E-1
2.210057750E0,6.342181563E-2,-2.952961922E-1,1.424478740E-1,3.339364679E-1
2.219998750E0,5.611916259E-2,-4.239798784E-1,2.107888460E-1,4.768020924E-1
2.229938750E0,2.338901162E-2,-5.611065030E-1,2.781877220E-1,6.267184075E-1
2.239879750E0,-2.599771135E-2,-6.893755198E-1,3.125366569E-1,7.573596570E-1
2.249819750E0,-7.418537885E-2,-7.886959314E-1,3.058618009E-1,8.491738243E-1
2.259760750E0,-9.169646353E-2,-8.375865221E-1,2.494480908E-1,8.787398781E-1
2.269700750E0,-8.218346536E-2,-8.068917990E-1,1.928857118E-1,8.336866288E-1
2.279641750E0,-6.435013562E-2,-6.970904469E-1,1.533281803E-1,7.166488415E-1
2.289581750E0,-7.464308292E-2,-5.253701210E-1,1.235792115E-1,5.448460107E-1
2.299522750E0,-1.097195819E-1,-3.034854233E-1,9.054642171E-2,3.351722592E-1
2.309462750E0,-1.453664899E-1,-7.540082932E-2,4.701129720E-2,1.703724259E-1
2.319402750E0,-1.381746233E-1,1.169086918E-1,-3.311527660E-3,1.810271663E-1
2.329343750E0,-1.009774208E-1,2.544266582E-1,-3.418722004E-2,2.758588949E-1
2.339283750E0,-3.792627528E-2,3.266129494E-1,-4.503507540E-2,3.318773555E-1
2.349224750E0,7.523956709E-3,3.432679772E-1,-4.147830978E-2,3.458467353E-1
2.359164750E0,3.335555643E-2,2.985154092E-1,-3.372637928E-2,3.022606679E-1
2.369105750E0,5.330836773E-2,2.183376402E-1,-1.994939893E-2,2.256348504E-1
2.379045750E0,7.321496308E-2,1.187452674E-1,1.056284877E-3,1.395062188E-1
2.388986750E0,1.002112031E-1,2.200424299E-2,3.547595069E-2,1.085588090E-1
2.398926750E0,1.209961101E-1,-6.664200127E-2,5.994960293E-2,1.505827676E-1
2.408867750E0,1.234692261E-1,-1.262707412E-1,7.702606916E-2,1.926706132E-1
2.418807750E0,1.149497777E-1,-1.483928114E-1,8.579079807E-2,2.063829908E-1
2.428748750E0,1.068792567E-1,-1.377817541E-1,8.247379214E-2,1.928961214E-1
2.438688750E0,1.106103435E-1,-1.126375124E-1,7.470268756E-2,1.746492165E-1
2.448628750E0,1.221251041E-1,-7.962787151E-2,6.165952608E-2,1.582941443E-1
2.458569750E0,1.226433516E-1,-3.956994042E-2,5.883710831E-2,1.416650175E-1
2.468509750E0,9.973670542E-2,1.118804421E-2,5.866906419E-2,1.162524917E-1
2.478450750E0,4.663274437E-2,6.410638988E-2,5.940436199E-2,9.906119470E-2
2.488390750E0,-1.362270582E-2,1.061842814E-1,6.273185462E-2,1.240804792E-1
2.498331750E0,-5.942268670E-2,1.180124432E-1,6.537823379E-2,1.474188112E-1
2.508271750E0,-8.261349052E-2,1.147346273E-1,6.826855987E-2,1.570019738E-1
2.518212750E0,-8.827483654E-2,9.754419327E-2,6.600780785E-2,1.471881351E-1
2.528152750E0,-9.047175199E-2,8.651673794E-2,6.252317876E-2,1.399265226E-1
2.538093750E0,-7.940471917E-2,8.595534414E-2,5.303166807E-2,1.284748552E-1
2.548033750E0,-6.626126915E-2,9.163424373E-2,4.961223900E-2,1.234858886E-1
2.557974750E0,-4.259588569E-2,1.044168845E-1,4.099451378E-2,1.199910222E-1
2.567914750E0,-2.069124393E-2,1.213182434E-1,3.461483121E-2,1.278453374E-1
2.577854750E0,4.594405647E-3,1.301530153E-1,1.998102665E-2,1.317579499E-1
2.587795750E0,2.814624086E-2,1.336885095E-1,2.612704178E-3,1.366442632E-1
2.597735750E0,4.763072729E-2,1.418811977E-1,-9.584307671E-3,1.499693949E-1
2.607676750E0,5.893748999E-2,1.540167183E-1,-1.648382656E-2,1.657301836E-1
2.617616750E0,6.705294549E-2,1.675865799E-1,-2.109296061E-2,1.817313189E-1
2.627557750E0,6.037903577E-2,1.838033497E-1,-2.766067907E-2,1.954339083E-1
2.637497750E0,6.046745181E-2,1.938764900E-1,-3.377183527E-2,2.058760378E-1
2.647438750E0,6.694612652E-2,1.962739378E-1,-3.634326160E-2,2.105375862E-1
2.657378750E0,7.585492730E-2,1.883896589E-1,-3.670332208E-2,2.063777300E-1
2.667319750E0,6.907869130E-2,1.778915524E-1,-3.575587645E-2,1.941539408E-1
2.677259750E0,4.930099100E-2,1.792665422E-1,-3.893249482E-2,1.899547841E-1
2.687200750E0,1.754829101E-2,1.845807582E-1,-3.561790660E-2,1.888031623E-1
2.697140750E0,-4.482177552E-3,1.991549134E-1,-2.719752491E-2,2.010534128E-1
2.707080750E0,-1.647536084E-2,2.113759369E-1,-1.779510267E-2,2.127625199E-1
2.717021750E0,-4.083582759E-2,2.279940695E-1,-1.210472733E-2,2.319383214E-1
2.726961750E0,-6.915811449E-2,2.420509756E-1,-4.144137725E-3,2.517711132E-1
2.736902750E0,-8.982717246E-2,2.416959703E-1,-2.517745132E-3,2.578608191E-1
2.746842750E0,-9.234051406E-2,2.346390188E-1,-2.801188733E-3,2.521707484E-1
2.756783750E0,-8.721499145E-2,2.069663703E-1,-2.610506490E-3,2.246070968E-1
2.766723750E0,-7.418759167E-2,1.779669523E-1,3.666397650E-3,1.928457346E-1
2.776664750E0,-6.272134930E-2,1.603687853E-1,7.309601642E-3,1.723529670E-1
2.786604750E0,-5.009672791E-2,1.498093009E-1,5.697459448E-3,1.580663463E-1
2.796545750E0,-2.804468945E-2,1.389686465E-1,-9.860096034E-4,1.417736278E-1
2.806485750E0,-1.178067178E-3,1.264109015E-1,1.703067683E-3,1.264278621E-1
2.816426750E0,3.159532696E-2,1.110106409E-1,2.569127595E-3,1.154479428E-1
2.826366750E0,6.153378263E-2,8.526000381E-2,4.648257513E-3,1.052486625E-1
2.836306750E0,7.808213681E-2,6.344045699E-2,1.245344989E-2,1.013735670E-1
2.846247750E0,8.012212068E-2,4.551711679E-2,8.485605940E-3,9.253846579E-2
2.856187750E0,7.358192652E-2,3.342183679E-2,1.753667719E-3,8.083560129E-2
2.866128750E0,6.693266332E-2,2.955692075E-2,-1.074259402E-3,7.317613694E-2
2.876068750E0,7.071594894E-2,2.752226591E-2,-3.759258660E-3,7.597600003E-2
2.886009750E0,7.746212184E-2,2.925417759E-2,-7.030507550E-4,8.280508141E-2
2.895949750E0,6.510825455E-2,4.173294827E-2,9.031016380E-4,7.734041230E-2
2.905890750E0,4.005517066E-2,6.486207247E-2,3.831370268E-4,7.623419138E-2
2.915830750E0,8.828276768E-3,9.121804684E-2,-1.734875143E-3,9.166068041E-2
2.925771750E0,-3.720636480E-3,1.036877260E-1,4.085599910E-3,1.038348678E-1
2.935711750E0,-5.372062325E-3,1.002250835E-1,1.686983928E-2,1.017768043E-1
2.945651750E0,-4.939444363E-3,8.791900426E-2,2.228146419E-2,9.083288539E-2
2.955592750E0,-1.999269798E-2,7.736090571E-2,2.772736177E-2,8.457673613E-2
2.965532750E0,-3.549011052E-2,7.294860482E-2,3.127728775E-2,8.694432482E-2
2.975473750E0,-3.698494285E-2,6.974801421E-2,3.667684644E-2,8.705091929E-2
2.985413750E0,-3.418640047E-2,6.764157116E-2,3.696338832E-2,8.432309413E-2
2.995354750E0,-2.350765653E-2,6.602875888E-2,3.705792874E-2,7.928238769E-2
3.005294750E0,-1.229649782E-2,5.997115746E-2,3.559792042E-2,7.081635068E-2
3.015235750E0,-7.338792784E-5,5.765074492E-2,3.724641353E-2,6.863606265E-2
3.025175750E0,1.280604769E-2,5.593466014E-2,3.828421235E-2,6.898088124E-2
3.035116750E0,2.103468217E-2,5.695092306E-2,3.509880230E-2,7.012696638E-2
3.045056750E0,2.841643244E-2,5.030820146E-2,3.137810156E-2,6.574947927E-2
3.054997750E0,3.150783107E-2,4.388712347E-2,2.979044616E-2,6.169516762E-2
3.064937750E0,3.662366420E-2,3.810795024E-2,2.968207002E-2,6.061793407E-2
3.074877750E0,4.080882296E-2,3.663868457E-2,2.978566661E-2,6.240944780E-2
3.084818750E0,4.457932338E-2,3.514125571E-2,2.826618776E-2,6.341294265E-2
3.094758042E0,5.209263414E-2,3.221897036E-2,2.199977078E-2,6.508221337E-2
3.104699042E0,5.853199214E-2,3.400759399E-2,1.424371079E-2,6.917654118E-2
