"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.617403750E-1,-9.057664490E-1,1.783092041E0,8.946146393E0,9.166971439E0
6.716813750E-1,-9.907896423E-1,1.835632782E0,8.813522186E0,9.057007516E0
6.816233750E-1,-9.970765686E-1,1.833387451E0,8.847202148E0,9.090019642E0
6.915643750E-1,-8.792715454E-1,1.824855194E0,8.966504059E0,9.192464847E0
7.015063750E-1,-8.828640747E-1,1.743574219E0,9.126221924E0,9.333135949E0
7.114473750E-1,-8.999285889E-1,1.650767212E0,9.335636444E0,9.523077846E0
7.213893750E-1,-8.930429077E-1,1.494492188E0,9.601633301E0,9.758196277E0
7.313303750E-1,-7.878117371E-1,1.471440125E0,9.849517822E0,9.989934169E0
7.412723750E-1,-6.125262451E-1,1.491498413E0,1.007629623E1,1.020448439E1
7.512133750E-1,-4.806504822E-1,1.585951996E0,1.035456757E1,1.048634055E1
7.611553750E-1,-4.174818420E-1,1.747615814E0,1.053239777E1,1.068456152E1
7.710963750E-1,-5.004093933E-1,1.823058929E0,1.055739578E1,1.072532326E1
7.810383750E-1,-5.653742981E-1,1.927990723E0,1.049153275E1,1.068218403E1
7.909793750E-1,-5.475613403E-1,1.944157104E0,1.049961594E1,1.069212351E1
8.009213750E-1,-5.206173706E-1,1.908381500E0,1.050680099E1,1.069139044E1
8.108623750E-1,-5.748046875E-1,1.882335663E0,1.045650558E1,1.064011734E1
8.208043750E-1,-5.468128967E-1,1.825753326E0,1.034663406E1,1.052070416E1
8.307453750E-1,-4.644841003E-1,1.699266357E0,1.015099091E1,1.030271168E1
8.406873750E-1,-4.423301697E-1,1.581760712E0,9.833052063E0,9.969279603E0
8.506283750E-1,-3.662882996E-1,1.618135071E0,9.649234314E0,9.790824841E0
8.605693750E-1,-1.399589539E-1,1.597478027E0,9.509125671E0,9.643391291E0
8.705113750E-1,7.110214233E-2,1.498384094E0,9.399403839E0,9.518350852E0
