"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.813333312E-4,-1.448537750E0,1.713037720E0,8.455616455E0,8.748154633E0
1.062133333E-2,-1.112037506E0,1.463656311E0,8.423583069E0,8.621813552E0
2.056133332E-2,-1.337618408E0,1.193318481E0,8.128097534E0,8.323412853E0
3.050233333E-2,-1.308429108E0,9.880952454E-1,7.928712158E0,8.096468084E0
4.044233332E-2,-1.537602539E0,7.185058594E-1,7.635921021E0,7.822260675E0
5.038233333E-2,-1.524729309E0,5.007087708E-1,7.443271637E0,7.614315557E0
6.032233333E-2,-1.230740662E0,4.117936707E-1,7.421417084E0,7.534037970E0
7.026233333E-2,-1.280736694E0,1.383123779E-1,7.932005310E0,8.035927142E0
8.020233332E-2,-1.157393188E0,-1.646575928E-1,8.482710114E0,8.562887479E0
9.014333333E-2,-6.824308777E-1,-5.686674500E-1,8.951385498E0,8.995354185E0
1.000833333E-1,-2.222877502E-1,-9.072633362E-1,9.458680573E0,9.504692356E0
1.100233333E-1,-5.822891235E-2,-6.483018494E-1,9.461374969E0,9.483738831E0
1.199633333E-1,2.814147949E-1,-5.114863586E-1,9.286388855E0,9.304720874E0
1.299033333E-1,1.373543701E0,-9.551637268E-1,9.123228149E0,9.275357239E0
1.398433333E-1,2.817590790E0,-1.394200745E0,8.953181763E0,9.489050387E0
1.497843333E-1,4.079915771E0,-1.837878113E0,9.094787292E0,1.013600831E1
1.597243333E-1,4.481231232E0,-2.340383148E0,9.474248199E0,1.073872458E1
1.696643333E-1,4.138743439E0,-2.648592224E0,1.008602600E1,1.121927620E1
1.796043333E-1,3.746109924E0,-2.612666931E0,1.065589096E1,1.159341969E1
1.895443333E-1,3.748355255E0,-2.330503693E0,1.093431198E1,1.179154753E1
1.994853333E-1,4.131857758E0,-1.841770020E0,1.209769272E1,1.291582496E1
2.094253333E-1,4.930596771E0,-1.191372528E0,1.230905319E1,1.331326194E1
2.193653333E-1,5.748945007E0,-1.501078491E0,1.151705017E1,1.295940006E1
2.293053333E-1,6.437363434E0,-1.779200134E0,9.975406036E0,1.200474601E1
2.392453333E-1,6.172863464E0,-2.158062286E0,7.840994568E0,1.020993007E1
2.491863333E-1,6.084098053E0,-2.309247894E0,6.548133087E0,9.231842822E0
2.591263333E-1,6.111491089E0,-2.137854309E0,6.587351532E0,9.236554800E0
2.690663333E-1,6.371350708E0,-1.733844452E0,7.313940582E0,9.853631476E0
2.790063333E-1,6.043682098E0,-9.851014709E-1,8.093519440E0,1.014896917E1
2.889463333E-1,5.653593292E0,-1.059347076E0,8.592731323E0,1.034023041E1
2.988863333E-1,5.207221527E0,-1.501377869E0,9.112001495E0,1.060178583E1
3.088273333E-1,4.868326263E0,-1.856439514E0,9.564809875E0,1.089185734E1
3.187673333E-1,4.317172394E0,-2.252665558E0,9.544452209E0,1.071489839E1
3.287073333E-1,3.644770660E0,-2.890638885E0,9.186845856E0,1.029748917E1
3.386473333E-1,2.837499390E0,-3.700604553E0,8.781488800E0,9.942857858E0
3.485873333E-1,2.378254395E0,-4.443359985E0,8.467441864E0,9.853786767E0
3.585273333E-1,2.728675690E0,-4.712500305E0,8.146359558E0,9.798801161E0
3.684683333E-1,3.725752258E0,-4.505031738E0,7.915090485E0,9.839979585E0
3.784083333E-1,5.374423828E0,-3.825444946E0,8.467142487E0,1.073363696E1
3.883483333E-1,6.960525513E0,-2.234403534E0,9.399852905E0,1.190792632E1
3.982883333E-1,8.499325562E0,-5.788462830E-1,9.541308746E0,1.279101914E1
4.082283333E-1,9.767787781E0,3.540138245E-1,8.932674408E0,1.324113575E1
4.181693333E-1,1.090347610E1,9.238787842E-1,8.505762177E0,1.385955747E1
4.281093333E-1,1.145073807E1,6.854246521E-1,7.888894958E0,1.392206425E1
4.380493333E-1,1.122096588E1,7.352709961E-1,7.049889679E0,1.327221320E1
4.479893333E-1,1.063852707E1,9.292675781E-1,6.547534332E0,1.252645210E1
4.579293333E-1,9.693841553E0,9.428892517E-1,5.665718079E0,1.126765129E1
4.678693333E-1,8.849447479E0,6.426136780E-1,4.384831696E0,9.897091594E0
4.778103333E-1,8.286767578E0,4.457730103E-1,2.519261169E0,8.672710494E0
4.877503333E-1,8.021668854E0,1.327589264E0,5.046006775E-1,8.146427824E0
4.976903333E-1,7.688162384E0,2.180066528E0,-1.716929626E-1,7.993122630E0
5.076303333E-1,8.708740082E0,2.812800751E0,1.592687988E-1,9.153107037E0
5.175703333E-1,9.383237457E0,3.774251404E0,1.556762695E0,1.023296775E1
5.275113333E-1,9.981543274E0,4.003873901E0,1.895807648E0,1.092045324E1
5.374513333E-1,1.003273682E1,4.509821777E0,5.635780334E-1,1.101416909E1
5.473913333E-1,9.302405548E0,4.657414856E0,-8.247848511E-1,1.043582925E1
5.573313333E-1,8.938811646E0,3.921994171E0,-1.332379303E0,9.851884415E0
5.672713333E-1,8.916957092E0,4.135599976E0,-1.396595764E0,9.928030554E0
5.772113333E-1,8.694519653E0,4.365072784E0,-1.320703583E0,9.817983009E0
