"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.696693206476887E9,"2023-10-07 18:40:06.477 UTC+03:00"
"PAUSE",4.672278737499437E1,1.696693253198790E9,"2023-10-07 18:40:53.199 UTC+03:00"
"START",4.672278737499437E1,1.696693255370096E9,"2023-10-07 18:40:55.370 UTC+03:00"
"PAUSE",4.900749929166341E1,1.696693257654765E9,"2023-10-07 18:40:57.655 UTC+03:00"
