"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.696693496876414E9,"2023-10-07 18:44:56.876 UTC+03:00"
"PAUSE",4.663192604166397E1,1.696693543507458E9,"2023-10-07 18:45:43.507 UTC+03:00"
"START",4.663192604166397E1,1.696693546117051E9,"2023-10-07 18:45:46.117 UTC+03:00"
"PAUSE",4.948558208333270E1,1.696693548970652E9,"2023-10-07 18:45:48.971 UTC+03:00"
